clean_url,clicks,impressions,type,priority,suggested_redirect
https://enviroaqua.com.au/,487,31439,homepage,critical,KEEP — map to new homepage /
https://enviroaqua.com.au/product/12v-self-priming-garden-caravan-electric-water-pump-faucet-tap-kit-5m-pipe/,156,21351,product,critical,301 → /products/12v-self-priming-garden-caravan-electric-water-pump-faucet-tap-kit-5m-pipe (Shopify standard)
https://enviroaqua.com.au/product/100l-chemical-dosing-tank-water-tank-poly-tank-and-bund/,123,14462,product,critical,301 → /products/100l-chemical-dosing-tank-water-tank-poly-tank-and-bund (Shopify standard)
https://enviroaqua.com.au/product/rimless-watermark-back-to-wall-toilet-soft-close-wels/,121,10024,product,critical,301 → /products/rimless-watermark-back-to-wall-toilet-soft-close-wels (Shopify standard)
https://enviroaqua.com.au/product/typ-4000-bypass-pressure-adjustable-diaphragm-booster-pump-24-vdc-400gpd/,109,1254,product,critical,301 → /products/typ-4000-bypass-pressure-adjustable-diaphragm-booster-pump-24-vdc-400gpd (Shopify standard)
https://enviroaqua.com.au/product-category/water-filters/,63,5136,product-category,critical,301 → /collections/water-filters
https://enviroaqua.com.au/product/uv-water-filter-ultraviolet-sterilisation-0-5-1-gpm-6w-12vdc/,44,15259,product,critical,301 → /products/uv-water-filter-ultraviolet-sterilisation-0-5-1-gpm-6w-12vdc (Shopify standard)
https://enviroaqua.com.au/product/3-way-pull-down-spray-tap-kitchen-mixer-in-black-chrome-and-nickel/,33,1217,product,critical,301 → /products/3-way-pull-down-spray-tap-kitchen-mixer-in-black-chrome-and-nickel (Shopify standard)
https://enviroaqua.com.au/shop/,30,5664,shop archive,medium,301 → /collections/all
https://enviroaqua.com.au/showroom/,30,2299,top-level page (landing/info),high,301 → /pages/showroom on new site
https://enviroaqua.com.au/product/shower-filter-15-stages-includes-extra-cartridge/,28,4132,product,critical,301 → /products/shower-filter-15-stages-includes-extra-cartridge (Shopify standard)
