tier,price_aud,category,sub_category,rule_of_thumb,examples_from_catalog
T1,9.95,Cartridges,Inline cartridges,Single cartridge under 0.5kg in a satchel,"Inline alkaline 10x2, inline T33 polish, inline UF, inline fluoride"
T1,9.95,Plumbing,Small parts and fittings,Push-fit fittings + valves + small accessories,"Push-fit connectors, diverter valves, ferrules, o-rings, housing wrenches"
T1,9.95,Bubblers & Coolers,Replacement parts,Small replacement parts,"Bubbler filter cartridges, drinking fountain tap heads, replacement nozzles"
T1,9.95,Pumps & Tanks,Small components,Pressure switches + gauges + small fittings,"Pressure switch, gauge, check valve, tank tee, small solenoid"
T2,14.95,Cartridges,Single standard cartridges,Single 10x2.5 or 20x2.5 cartridge,"Sediment 10x2.5, GAC carbon 10x2.5, CTO carbon 10x2.5, 20x2.5 cartridges single"
T2,14.95,Cartridges,RO membranes,Single RO membrane in packaging,"75 GPD RO membrane, 100 GPD RO membrane, single TFC membrane"
T2,14.95,Cartridges,Specialty cartridges,Single specialty cartridge (KDF + scale + iron),"KDF cartridge 10x2.5, scale reduction 10x2.5, iron removal 10x2.5"
T2,14.95,Cartridges,Twin-packs and small sets,2-3 cartridges packed together,"Twin sediment + carbon pack, basic 3-stage replacement set"
T2,14.95,Water Filters,Bench top,Counter-top filter unit in a box,"Bench-top single, bench-top twin (small footprint)"
T2,14.95,Plumbing,Bathroom taps,"Basin mixers 12-18cm, smaller taps","Round basin mixer 12cm, basin mixer 18cm, wall spouts"
T2,14.95,Plumbing,RO filter taps,Single under-sink filter taps,"Chrome RO filter tap, brushed nickel filter tap, single-handle RO tap"
T2,14.95,Plumbing,Kitchen taps,Standard kitchen mixers,"Pull-down kitchen mixer (standard), pull-out spray mixer (standard)"
T3,19.95,Cartridges,Big Blue cartridges,Single 10x4.5 or 20x4.5 cartridge,"Big Blue sediment 20x4.5, Big Blue carbon block 20x4.5, BB pleated 20x4.5"
T3,19.95,Cartridges,Big Blue twin/triple packs,Multiple Big Blue cartridges,"BB sediment + carbon twin pack, BB triple cartridge replacement set"
T3,19.95,Cartridges,5/6-stage RO sets,Complete RO replacement set with 5-6 cartridges,"5-stage RO replacement set, 6-stage RO replacement set with alkaline"
T3,19.95,Water Filters,Under-sink filters,"2 or 3-stage under-sink (housings + cartridges, no tank)","Under-sink twin, under-sink triple (no RO)"
T3,19.95,Water Filters,RO systems no tank,4/5/6-stage RO without storage tank,"4-stage RO system (no tank variant), 5-stage RO (no tank)"
T3,19.95,Plumbing,Tall kitchen mixers,Tall gooseneck and 3-way RO kitchen taps,"Three-way RO kitchen mixer, tall gooseneck kitchen mixer, spring-loaded 3-way"
T3,19.95,Plumbing,Tall basin mixers,Basin mixers 22cm+,"Tall basin mixer 29cm, tall round basin mixer"
T3,19.95,Plumbing,Shower sets,Standard shower kits with rail and head,"Shower set with rail, shower combo (no extras)"
T3,19.95,Pumps & Tanks,Small pumps,12V/220V pumps under 5kg,"12V booster pump, small RO booster, 100GPD pump"
T3,19.95,Pumps & Tanks,Small pressure tanks,8L-12L pressure tanks,"8L pressure tank, 12L pressure tank"
